26.908,-6.767,-15.131,-33.386,-41.199,-49.27
62.996,28.017,49.711,30.293,20.827,37.633
49.86,25.802,18.349,32.643,14.766,21.519
11.221,-6.988,-40.416,-10.804,-28.428,-22.708
6.835,-17.301,-52.664,-29.252,-40.594,-18.901
24.865,-4.508,-29.625,-13.199,-21.436,0.42
37.787,10.969,-6.451,4.762,-7.785,-13.926
36.023,13.364,5.418,5.606,-8.591,-30.124
32.256,7.719,12.879,1.936,-7.217,-3.724
32.547,3.324,7.127,5.592,-0.235,35.622
30.445,0.587,-17.468,7.663,-3.617,27.798
25.156,-1.429,-36.34,0.283,-17.599,-19.036
28.252,2.861,-22.729,-6.711,-22.913,-41.723
39.621,9.709,11.896,-0.19,-11.074,-12.862
44.747,11.108,21.9,13.813,2.18,24.951
36.663,6.814,-8.99,19.298,1.576,24.477
29.153,5.462,-30.513,12.772,-6.354,-0.015
28.681,5.296,-17.171,-2.679,-14.886,-16.204
28.627,1.695,4.971,-12.784,-18.536,-15.25
29.279,2.058,13.82,-2.442,-11.281,-2.072
28.057,6.515,6.23,15.991,-0.378,10.497
20.897,6.128,-6.966,16.465,-0.367,10.427
13.556,-0.814,-13.095,-2.253,-12.728,-1.539
17.053,-0.843,-1.41,-12,-17.693,-9.343
25.449,8.737,19.378,-1.817,-9.082,-8.283
22.548,12.067,25.365,10.053,0.17,-1.234
12.83,7.676,19.258,11.228,2.346,12.39
4.029,-0.259,13.58,0.907,-4.684,17.873
3.349,-3.17,12.507,-7.596,-11.179,5.776
13.014,5.599,18.643,-2.042,-8.113,-10.336
17.585,11.719,27.888,6.664,-2.48,-12.884
11.677,6.661,27.306,6.142,-3.073,-0.321
5.23,-1.365,18.199,0.642,-7.06,13.221
9.043,-0.176,13.331,2.872,-6.558,12.486
20.799,10.887,18.298,12.441,-1.595,-3.961
29.842,19.368,30.487,16.698,2.416,-15.394
30.931,18.808,41.241,14.444,3.452,-4.016
24.667,10.335,35.369,12.48,1.819,17.896
15.529,3.25,14.097,13.766,-0.106,24.148
15.256,5.814,1.636,14.839,-1.184,6.908
25.013,14.69,13.87,11.639,-2.002,-13.331
30.419,16.143,32.257,5.211,-4.228,-12.999
25.078,6.519,31.975,3.349,-6.034,6.134
16.483,-1.628,13.429,8.871,-5.715,19.478
11.958,-1.439,-6.122,11.442,-6.611,10.144
18.842,6.982,-1.811,6.595,-7.553,-8.586
33.311,15.679,22.66,1.769,-6.467,-12.444
39.142,16.008,31.924,6.341,-3.452,1.773
30.87,8.786,15.56,15.517,-1.131,15.753
26.759,8.353,-9.002,20.962,1.26,16.194
38.786,18.746,-17.862,17.223,0.975,3.386
47.503,21.188,-10.902,3.631,-7.787,-14.424
44.874,14.682,1,-1.703,-13.158,-16.389
41.042,13.589,6.945,12.607,-3.089,4.215
41.129,17.234,-0.581,27.473,8.428,20.231
43.011,18.433,-10.985,23.458,5.801,12.35
45.208,17.923,-9.662,8.495,-4.96,-5.886
45.25,17.733,0.45,3.084,-7.807,-10.736
44.041,21.472,9.695,14.347,2.216,5.664
41.316,25.441,11.529,28.121,13.674,26.398
36.643,21.216,4.307,23.587,10.321,27.494
36.074,15.156,-0.665,8.311,-2.142,10.75
42.501,16.419,2.938,4.242,-7.158,-2.831
44.958,19.338,9.907,12.858,-2.949,-1.34
32.985,10.33,6.983,12.113,-6.496,3.4
14.643,-6.756,-9.577,-4.149,-20.637,-0.634
11.898,-10.902,-16.988,-14.522,-27.782,-8.862
20.034,-4.426,-15.634,-12.682,-24.919,-17.333
28.062,5.29,-9.356,-2.014,-15.015,-16.388
34.293,13.256,-3.144,8.735,-4.958,-2.91
31.598,10.204,2.526,9.934,-3.008,10.206
26.054,4.105,-2.398,6.277,-6.66,10.637
26.223,4.192,-15.913,2.751,-11.001,-2.7
32.034,9.728,-16.583,2.088,-12.831,-16.998
33.662,9.568,-4.849,1.169,-13.672,-18.337
29.281,4.914,2.218,1.621,-12.306,-4.969
24.105,3.972,1.999,5.133,-8.634,8.848
23.2,7.052,0.022,7.189,-6.62,6.161
28.334,13.198,8.139,5.85,-6.355,-8.304
32.739,15.983,24.704,3.146,-5.937,-13.781
30.022,11.88,32.34,3.006,-6.37,-5.215
22.781,5.421,18.948,6.52,-7.05,4.85
19.959,4.959,5.148,10.571,-5.813,5.629
22.378,8.752,3.066,6.488,-7.077,-5.457
28.679,13.719,13.699,-0.349,-8.773,-13.602
32.541,15.453,27.726,-1.235,-8.668,-7.318
26.658,11.629,30.022,4.357,-6.753,6.121
21.142,11.993,24.124,13.684,-0.771,15.052
22.858,15.411,18.646,13.297,-0.246,7.53
25.918,13.508,17.144,-0.922,-10.995,-11.532
25.978,9.837,22.043,-10.338,-18.191,-16.592
21.203,7.883,24.353,-5.274,-14.309,-2.802
14.188,6.396,16.195,3.302,-7.474,8.502
17.015,11.383,12.671,9.022,-1.663,9.522
24.094,13.786,14.488,0.911,-6.447,-1.159
24.365,9.138,18.31,-9.745,-15.122,-12.924
24.943,9.66,24.888,-1.661,-12.187,-7.125
21.546,9.667,21.202,11.408,-5.102,6.056
18.162,8.309,9.995,10.773,-4.981,6.549
22.453,10.711,5.569,1.003,-8.921,-2.701
28.3,13.205,14.929,-4.887,-11.399,-8.141
28.474,12.518,22.046,-0.063,-9.213,-3.603
25.009,11.87,16.006,12.465,-1.073,8.258
24.317,14.187,10.023,21.287,5.993,16.339
